id,jozz,sura_no,page,aya_no
927,8,6,146,138
928,8,6,146,139
929,8,6,146,140
930,8,6,146,141
931,8,6,146,142
932,8,6,147,143
933,8,6,147,144
934,8,6,147,145
935,8,6,147,146
936,8,6,148,147
937,8,6,148,148
938,8,6,148,149
939,8,6,148,150
940,8,6,148,151
941,8,6,149,152
942,8,6,149,153
943,8,6,149,154
944,8,6,149,155
945,8,6,149,156
946,8,6,149,157
947,8,6,150,158
948,8,6,150,159
949,8,6,150,160
950,8,6,150,161
951,8,6,150,162
952,8,6,150,163
953,8,6,150,164
954,8,6,150,165
955,8,7,151,1
956,8,7,151,2
957,8,7,151,3
958,8,7,151,4
959,8,7,151,5
960,8,7,151,6
961,8,7,151,7
962,8,7,151,8
963,8,7,151,9
964,8,7,151,10
965,8,7,151,11
966,8,7,152,12
967,8,7,152,13
968,8,7,152,14
969,8,7,152,15
970,8,7,152,16
971,8,7,152,17
972,8,7,152,18
973,8,7,152,19
974,8,7,152,20
975,8,7,152,21
976,8,7,152,22
977,8,7,153,23
978,8,7,153,24
979,8,7,153,25
980,8,7,153,26
981,8,7,153,27
982,8,7,153,28
983,8,7,153,29
984,8,7,153,30
985,8,7,154,31
986,8,7,154,32
987,8,7,154,33
988,8,7,154,34
989,8,7,154,35
990,8,7,154,36
991,8,7,154,37
992,8,7,155,38
993,8,7,155,39
994,8,7,155,40
995,8,7,155,41
996,8,7,155,42
997,8,7,155,43
998,8,7,156,44
999,8,7,156,45
1000,8,7,156,46
1001,8,7,156,47
1002,8,7,156,48
1003,8,7,156,49
1004,8,7,156,50
1005,8,7,156,51
1006,8,7,157,52
1007,8,7,157,53
1008,8,7,157,54
1009,8,7,157,55
1010,8,7,157,56
1011,8,7,157,57
1012,8,7,158,58
1013,8,7,158,59
1014,8,7,158,60
1015,8,7,158,61
1016,8,7,158,62
1017,8,7,158,63
1018,8,7,158,64
1019,8,7,158,65
1020,8,7,158,66
1021,8,7,158,67
1022,8,7,159,68
1023,8,7,159,69
1024,8,7,159,70
1025,8,7,159,71
1026,8,7,159,72
1027,8,7,159,73
1028,8,7,160,74
1029,8,7,160,75
1030,8,7,160,76
1031,8,7,160,77
1032,8,7,160,78
1033,8,7,160,79
1034,8,7,160,80
1035,8,7,160,81
1036,8,7,161,82
1037,8,7,161,83
1038,8,7,161,84
1039,8,7,161,85
1040,8,7,161,86
1041,8,7,161,87
1042,9,7,162,88
1043,9,7,162,89
1044,9,7,162,90
1045,9,7,162,91
1046,9,7,162,92
1047,9,7,162,93
1048,9,7,162,94
1049,9,7,162,95
1050,9,7,163,96
1051,9,7,163,97
1052,9,7,163,98
1053,9,7,163,99
1054,9,7,163,100
1055,9,7,163,101
1056,9,7,163,102
1057,9,7,163,103
1058,9,7,163,104
1059,9,7,164,105
1060,9,7,164,106
1061,9,7,164,107
1062,9,7,164,108
1063,9,7,164,109
1064,9,7,164,110
1065,9,7,164,111
1066,9,7,164,112
1067,9,7,164,113
1068,9,7,164,114
1069,9,7,164,115
1070,9,7,164,116
1071,9,7,164,117
1072,9,7,164,118
1073,9,7,164,119
1074,9,7,164,120
1075,9,7,165,121
1076,9,7,165,122
1077,9,7,165,123
1078,9,7,165,124
1079,9,7,165,125
1080,9,7,165,126
1081,9,7,165,127
1082,9,7,165,128
1083,9,7,165,129
1084,9,7,165,130
1085,9,7,166,131
1086,9,7,166,132
1087,9,7,166,133
1088,9,7,166,134
1089,9,7,166,135
1090,9,7,166,136
1091,9,7,166,137
1092,9,7,167,138
1093,9,7,167,139
1094,9,7,167,140
1095,9,7,167,141
1096,9,7,167,142
1097,9,7,167,143
1098,9,7,168,144
1099,9,7,168,145
1100,9,7,168,146
1101,9,7,168,147
1102,9,7,168,148
1103,9,7,168,149
1104,9,7,169,150
1105,9,7,169,151
1106,9,7,169,152
1107,9,7,169,153
1108,9,7,169,154
1109,9,7,169,155
1110,9,7,170,156
1111,9,7,170,157
1112,9,7,170,158
1113,9,7,170,159
1114,9,7,171,160
1115,9,7,171,161
1116,9,7,171,162
1117,9,7,171,163
1118,9,7,172,164
1119,9,7,172,165
1120,9,7,172,166
1121,9,7,172,167
1122,9,7,172,168
1123,9,7,172,169
1124,9,7,172,170
1125,9,7,173,171
1126,9,7,173,172
1127,9,7,173,173
1128,9,7,173,174
1129,9,7,173,175
1130,9,7,173,176
1131,9,7,173,177
1132,9,7,173,178
1133,9,7,174,179
1134,9,7,174,180
1135,9,7,174,181
1136,9,7,174,182
1137,9,7,174,183
1138,9,7,174,184
1139,9,7,174,185
1140,9,7,174,186
1141,9,7,174,187
1142,9,7,175,188
1143,9,7,175,189
1144,9,7,175,190
1145,9,7,175,191
1146,9,7,175,192
1147,9,7,175,193
1148,9,7,175,194
1149,9,7,175,195
1150,9,7,176,196
1151,9,7,176,197
1152,9,7,176,198
1153,9,7,176,199
1154,9,7,176,200
1155,9,7,176,201
1156,9,7,176,202
1157,9,7,176,203
1158,9,7,176,204
1159,9,7,176,205
1160,9,7,176,206
1161,9,8,177,1
1162,9,8,177,2
1163,9,8,177,3
1164,9,8,177,4
1165,9,8,177,5
1166,9,8,177,6
1167,9,8,177,7
1168,9,8,177,8
1169,9,8,178,9
1170,9,8,178,10
1171,9,8,178,11
1172,9,8,178,12
1173,9,8,178,13
1174,9,8,178,14
1175,9,8,178,15
1176,9,8,178,16
1177,9,8,179,17
1178,9,8,179,18
1179,9,8,179,19
1180,9,8,179,20
1181,9,8,179,21
1182,9,8,179,22
1183,9,8,179,23
1184,9,8,179,24
1185,9,8,179,25
1186,9,8,180,26
1187,9,8,180,27
1188,9,8,180,28
1189,9,8,180,29
1190,9,8,180,30
1191,9,8,180,31
1192,9,8,180,32
1193,9,8,180,33
1194,9,8,181,34
1195,9,8,181,35
1196,9,8,181,36
1197,9,8,181,37
1198,9,8,181,38
1199,9,8,181,39
1200,9,8,181,40
1201,10,8,182,41
1202,10,8,182,42
1203,10,8,182,43
1204,10,8,182,44
1205,10,8,182,45
1206,10,8,183,46
1207,10,8,183,47
1208,10,8,183,48
1209,10,8,183,49
1210,10,8,183,50
1211,10,8,183,51
1212,10,8,183,52
1213,10,8,184,53
1214,10,8,184,54
1215,10,8,184,55
1216,10,8,184,56
1217,10,8,184,57
1218,10,8,184,58
1219,10,8,184,59
1220,10,8,184,60
1221,10,8,184,61
1222,10,8,185,62
1223,10,8,185,63
1224,10,8,185,64
1225,10,8,185,65
1226,10,8,185,66
1227,10,8,185,67
1228,10,8,185,68
1229,10,8,185,69
1230,10,8,186,70
1231,10,8,186,71
1232,10,8,186,72
1233,10,8,186,73
1234,10,8,186,74
1235,10,8,186,75
1236,10,9,187,1
1237,10,9,187,2
1238,10,9,187,3
1239,10,9,187,4
1240,10,9,187,5
1241,10,9,187,6
1242,10,9,188,7
1243,10,9,188,8
1244,10,9,188,9
1245,10,9,188,10
1246,10,9,188,11
1247,10,9,188,12
1248,10,9,188,13
1249,10,9,189,14
1250,10,9,189,15
1251,10,9,189,16
1252,10,9,189,17
1253,10,9,189,18
1254,10,9,189,19
1255,10,9,189,20
1256,10,9,190,21
1257,10,9,190,22
1258,10,9,190,23
1259,10,9,190,24
1260,10,9,190,25
1261,10,9,190,26
1262,10,9,191,27
1263,10,9,191,28
1264,10,9,191,29
1265,10,9,191,30
1266,10,9,191,31
1267,10,9,192,32
1268,10,9,192,33
1269,10,9,192,34
1270,10,9,192,35
1271,10,9,192,36
1272,10,9,193,37
1273,10,9,193,38
1274,10,9,193,39
1275,10,9,193,40
1276,10,9,194,41
1277,10,9,194,42
1278,10,9,194,43
1279,10,9,194,44
1280,10,9,194,45
1281,10,9,194,46
1282,10,9,194,47
1283,10,9,195,48
1284,10,9,195,49
1285,10,9,195,50
1286,10,9,195,51
1287,10,9,195,52
1288,10,9,195,53
1289,10,9,195,54
1290,10,9,196,55
1291,10,9,196,56
1292,10,9,196,57
1293,10,9,196,58
1294,10,9,196,59
1295,10,9,196,60
1296,10,9,196,61
1297,10,9,197,62
1298,10,9,197,63
1299,10,9,197,64
1300,10,9,197,65
1301,10,9,197,66
1302,10,9,197,67
1303,10,9,197,68
1304,10,9,198,69
1305,10,9,198,70
1306,10,9,198,71
1307,10,9,198,72
1308,10,9,199,73
1309,10,9,199,74
1310,10,9,199,75
1311,10,9,199,76
1312,10,9,199,77
1313,10,9,199,78
1314,10,9,199,79
1315,10,9,200,80
1316,10,9,200,81
1317,10,9,200,82
1318,10,9,200,83
1319,10,9,200,84
1320,10,9,200,85
1321,10,9,200,86
1322,10,9,201,87
1323,10,9,201,88
1324,10,9,201,89
1325,10,9,201,90
1326,10,9,201,91
1327,10,9,201,92
1328,10,9,201,93
1329,11,9,202,94
1330,11,9,202,95
1331,11,9,202,96
1332,11,9,202,97
1333,11,9,202,98
1334,11,9,202,99
1335,11,9,203,100
1336,11,9,203,101
1337,11,9,203,102
1338,11,9,203,103
1339,11,9,203,104
1340,11,9,203,105
1341,11,9,203,106
1342,11,9,204,107
1343,11,9,204,108
1344,11,9,204,109
1345,11,9,204,110
1346,11,9,204,111
1347,11,9,205,112
1348,11,9,205,113
1349,11,9,205,114
1350,11,9,205,115
1351,11,9,205,116
1352,11,9,205,117
1353,11,9,206,118
1354,11,9,206,119
1355,11,9,206,120
